"Source:","/home/tamas/general/holobone/hardware/cape/holobone.sch"
"Date:","Sat 12 Dec 2020 08:17:06 PM GMT"
"Tool:","Eeschema 5.1.6-c6e7f7d~87~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Store"
"","","U4","TL084","Amplifier_Operational:TL084","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","http://www.ti.com/lit/ds/symlink/tl081.pdf","https://uk.farnell.com/texas-instruments/tl084cpwr/ic-op-amp-3mhz-13v-us-tssop-14/dp/3005142?st=TL084"
"","","U5","MCP4922-EST","Analog_DAC:MCP4922-EST","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","http://ww1.microchip.com/downloads/en/devicedoc/21897a.pdf","https://uk.farnell.com/microchip/mcp4922-e-st/dac-12bit-dual-2ch-spi-14tssop/dp/1834917?st=MCP4922"
"","","U6","LM317_SOT-223","Regulator_Linear:LM317_SOT-223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm317.pdf","https://uk.farnell.com/on-semiconductor/lm317mstt3g/ic-linear-regulator/dp/1703412?st=lm317"
"","","U7","AP1509-50SG-13","holobone:AP1509-50SG-13","Package_SO:SOP-8_3.76x4.96mm_P1.27mm","http://www.farnell.com/datasheets/608784.pdf","https://uk.farnell.com/diodes-inc/ap1509-50sg-13/ic-buck-reg-5v-2a-8sop/dp/1825323"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Store"
"1","7","C1, C3, C4, C5, C7, C8, C9","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2802608.pdf","https://uk.farnell.com/tdk/cga4j2x7r2a104k125aa/cap-0-1-f-100v-10-x7r-0805/dp/2210962"
"2","1","C2","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2802608.pdf","https://uk.farnell.com/tdk/cga4j2x7r2a104k125aa/cap-0-1-f-100v-10-x7r-0805/dp/2210962"
"3","1","C6","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2792994.pdf","https://uk.farnell.com/tdk/c2012x5r1h475k125ab/cap-4-7-f-50v-10-x5r-0805/dp/2346932"
"4","1","C10","3.3uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2792994.pdf","https://uk.farnell.com/tdk/c2012x7r1e335k125ab/cap-3-3-f-25v-10-x7r-0805/dp/2346942"
"5","2","C11, C12","200p","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","https://uk.farnell.com/vishay/vj0805d201kxpaj/cap-200pf-250v-10-c0g-np0-0805/dp/2134064"
"6","1","C13","2.2uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2792994.pdf","https://uk.farnell.com/tdk/c2012x5r1h225k125ab/cap-2-2-f-50v-10-x5r-0805/dp/2346931"
"7","1","D1","D_Schottky","Device:D_Schottky","Diode_SMD:D_SOD-123","http://www.farnell.com/datasheets/1383346.pdf","https://uk.farnell.com/nexperia/pmeg3020er-115/diode-rect-sch-30v-2a-sod123w/dp/1907687"
"8","4","J1, J2, J3, J4","Conn_01x03","Connector_Generic:Conn_01x03","Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal","http://www.farnell.com/datasheets/2057209.pdf","https://uk.farnell.com/jst-japan-solderless-terminals/s3b-xh-a-lf-sn/header-right-angle-3way/dp/1516290?MER=sy-me-pd-mi-acce&st=JST%20XH%20S3B"
"9","1","L1","47 uH","Device:L","Inductor_SMD:L_12x12mm_H8mm","http://www.farnell.com/datasheets/2138022.pdf","https://uk.farnell.com/epcos/b82477g4473m000/inductor-47uh-2-5a-20-smd/dp/7430400"
"10","2","P1, P2","BeagleBone_Black_Header","Connector_Generic:Conn_02x23_Odd_Even","Socket_BeagleBone_Black:Socket_BeagleBone_Black","",""
"11","1","Q1","2SK3065T100","holobone:2SK3065T100","Package_TO_SOT_SMD:SOT-89-3_Handsoldering","http://www.farnell.com/datasheets/612773.pdf",""
"12","3","R1, R2, R3","4.75K","Device:R","Resistor_SMD:R_0805_2012Metric","http://www.farnell.com/datasheets/2310790.pdf","https://uk.farnell.com/vishay/crcw08054k75fkea/res-4k75-1-0-125w-0805-thick-film/dp/1469924"
"13","1","R4","2K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","http://www.farnell.com/datasheets/2310790.pdf","https://uk.farnell.com/vishay/crcw08052k00fkea/res-2k-1-0-125w-0805-thick-film/dp/1469884"
"14","2","R5, R6","5.6K","Device:R","Resistor_SMD:R_0805_2012Metric","http://www.farnell.com/datasheets/2310790.pdf","https://uk.farnell.com/vishay/crcw08055k60fkea/res-5k6-1-0-125w-0805-thick-film/dp/1469941"
"15","1","R7","5k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"16","1","R8","36R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"17","1","R9","2k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"18","6","R10, R12, R18, R19, R20, R21","16.2K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"19","2","R11, R13","3.9K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw08053k90fkea/res-3k9-1-0-125w-0805-thick-film/dp/1652998?st=smd%20resisitor"
"20","2","R14, R15","11.3K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080511k3fkea/res-11k3-1-0-125w-0805-thick-film/dp/1652911?st=smd%20resisitor"
"21","2","R16, R17","18.7K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080518k7fkea/res-18k7-1-0-125w-0805-thick-film/dp/1652934?st=smd%20resisitor"
"22","1","RV1","100R","Device:R_POT","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","http://www.farnell.com/datasheets/2061261.pdf","https://uk.farnell.com/bourns/3296w-1-101lf/trimmer-25-turn-100r/dp/9353160"
"23","1","SW1","SW_DIP_x02","Switch:SW_DIP_x02","Package_DIP:DIP-4_W7.62mm_SMDSocket_SmallPads","http://www.farnell.com/datasheets/2918533.pdf","https://uk.farnell.com/multicomp/mcdm-r-02-t/switch-2-way-spst-flush/dp/9472029?st=smd%20dip%202"
"24","1","U1","LM4040DBZ-2.0","Reference_Voltage:LM4040DBZ-2.0","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf","https://uk.farnell.com/texas-instruments/lm4040d20idbztg4/voltage-ref-shunt-2-048v-sot-23/dp/3124434"
"25","1","U2","CAT24C256","Memory_EEPROM:CAT24C256","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","https://www.onsemi.cn/PowerSolutions/document/CAT24C256-D.PDF","https://uk.farnell.com/on-semiconductor/cat24c256yi-gt3/eeprom-256kbit-i2c-1mhz-tssop/dp/2464468?st=CAT24C256"
"26","2","U3, U4","TL084","Amplifier_Operational:TL084","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","http://www.ti.com/lit/ds/symlink/tl081.pdf","https://uk.farnell.com/texas-instruments/tl084cpwr/ic-op-amp-3mhz-13v-us-tssop-14/dp/3005142?st=TL084"
"27","1","U5","MCP4922-EST","Analog_DAC:MCP4922-EST","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","http://ww1.microchip.com/downloads/en/devicedoc/21897a.pdf","https://uk.farnell.com/microchip/mcp4922-e-st/dac-12bit-dual-2ch-spi-14tssop/dp/1834917?st=MCP4922"
"28","1","U6","LM317_SOT-223","Regulator_Linear:LM317_SOT-223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm317.pdf","https://uk.farnell.com/on-semiconductor/lm317mstt3g/ic-linear-regulator/dp/1703412?st=lm317"
"29","1","U7","AP1509-50SG-13","holobone:AP1509-50SG-13","Package_SO:SOP-8_3.76x4.96mm_P1.27mm","http://www.farnell.com/datasheets/608784.pdf","https://uk.farnell.com/diodes-inc/ap1509-50sg-13/ic-buck-reg-5v-2a-8sop/dp/1825323"
